Days,Open,High,Low,Close,Volume
5929.0,6.25000,6.57800,6.21700,6.31825,638828000
5932.0,6.38400,6.64900,6.33975,6.63975,602252000
5933.0,6.68000,6.88500,6.44375,6.59000,949960000
5934.0,6.39125,6.53825,6.03200,6.07675,656912000
5935.0,6.10600,6.40000,6.05775,6.38675,675764000
5936.0,6.34900,6.39075,5.95975,6.09775,663212000
5939.0,6.38100,6.74700,6.32325,6.71000,727884000
5940.0,6.93250,6.95625,6.43250,6.47575,784520000
5941.0,6.58525,6.69875,6.51500,6.67375,542444000
5942.0,6.80000,6.82300,6.51050,6.57375,525564000
5946.0,6.51375,6.75500,6.42500,6.74625,398408000
5947.0,6.87500,7.13300,6.84725,7.09875,530948000
5948.0,6.93000,7.10425,6.88450,7.02100,366148000
5949.0,7.17700,7.47500,7.16375,7.36750,745620000
5950.0,7.45000,7.47150,7.17350,7.30800,539120000
5953.0,7.18100,7.33750,7.13175,7.17625,449388000
5954.0,7.05775,7.11925,6.67775,6.73775,735160000
